inferno
#fcffa4
#f8fb9a
#f3f68a
#f1f179
#f1ec6d
#f3e55d
#f4dd4f
#f6d746
#f8cf3a
#f9c72f
#fac026
#fbba1f
#fcb216
#fcaa0f
#fca50a
#fb9d07
#fb9606
#f98e09
#f8890c
#f78212
#f57b17
#f3761b
#f06f20
#ed6925
#ea632a
#e75e2e
#e35933
#df5337
#db503b
#d74b3f
#d24644
#cc4248
#c83f4b
#c33b4f
#bd3853
#b93556
#b3325a
#ad305d
#a82e5f
#a22b62
#9b2964
#952667
#902568
#8a226a
#84206b
#7f1e6c
#781c6d
#721a6e
#6c186e
#67166e
#61136e
#5a116e
#550f6d
#4f0d6c
#490b6a
#420a68
#3d0965
#360961
#2f0a5b
#290b55
#230c4c
#1c0c43
#160b39
#120a32
#0d0829
#09061f
#060419
#030210
#010108
#000004
